County, 2024 population ,Percentage of people with low incomes (under 200% of the  poverty level),Percentage of people living in poverty,Percentage of children living in poverty,Unemployment rate,High school grad rate,Percentage of adults with a bachelor's degree, Living Income Standard , Median worker earnings , Median household income ,Percentage of renter households paying more than 50% of income on rent,Work hours per week at min wage needed to afford rent for a two-bedroom home at fair market rate,Percentage of people without health insurance,Percentage of people receiving SNAP benefits,,,,,,,,,,,,,,,,,,,,
Alamance County," 184,100 ",34%,14%,19%,3.1%,85%,27%," $55,400 "," $42,400 "," $60,900 ",22%,129,10%,14%,,,,,,,,,,,,,,,,,,,,
Alexander County," 36,500 ",34%,12%,20%,3.3%,85%,15%," $50,900 "," $40,600 "," $62,800 ",21%,108,9%,14%,,,,,,,,,,,,,,,,,,,,
Alleghany County," 11,500 ",46%,20%,35%,3.4%,87%,21%," $43,900 "," $34,300 "," $42,100 ",26%,91,13%,14%,,,,,,,,,,,,,,,,,,,,
Anson County," 22,100 ",50%,19%,33%,3.8%,77%,11%," $54,800 "," $29,100 "," $42,000 ",25%,118,13%,29%,,,,,,,,,,,,,,,,,,,,
Ashe County," 27,200 ",37%,14%,18%,2.6%,88%,21%," $46,100 "," $35,100 "," $49,200 ",17%,91,11%,14%,,,,,,,,,,,,,,,,,,,,
Avery County," 17,400 ",39%,11%,12%,2.7%,87%,22%," $54,700 "," $30,300 "," $53,500 ",18%,109,15%,11%,,,,,,,,,,,,,,,,,,,,
Beaufort County," 43,600 ",37%,17%,29%,3.6%,85%,19%," $51,200 "," $40,000 "," $56,100 ",24%,91,11%,21%,,,,,,,,,,,,,,,,,,,,
Bertie County," 16,700 ",47%,21%,27%,4.2%,89%,17%," $52,000 "," $33,900 "," $41,700 ",30%,96,12%,26%,,,,,,,,,,,,,,,,,,,,
Bladen County," 28,900 ",45%,24%,41%,3.9%,91%,20%," $49,100 "," $36,100 "," $40,500 ",28%,91,10%,26%,,,,,,,,,,,,,,,,,,,,
Brunswick County," 166,900 ",24%,9%,14%,4.1%,84%,32%," $55,800 "," $40,700 "," $71,200 ",28%,120,9%,9%,,,,,,,,,,,,,,,,,,,,
Buncombe County," 279,300 ",30%,11%,14%,2.4%,91%,43%," $64,300 "," $41,100 "," $66,500 ",22%,178,11%,10%,,,,,,,,,,,,,,,,,,,,
Burke County," 89,600 ",37%,17%,27%,2.9%,88%,20%," $50,400 "," $38,200 "," $53,700 ",20%,108,11%,13%,,,,,,,,,,,,,,,,,,,,
Cabarrus County," 248,900 ",23%,8%,12%,3.1%,89%,36%," $68,100 "," $48,300 "," $83,800 ",21%,165,8%,10%,,,,,,,,,,,,,,,,,,,,
Caldwell County," 81,900 ",38%,13%,20%,3.1%,84%,17%," $48,900 "," $39,500 "," $52,400 ",19%,108,11%,15%,,,,,,,,,,,,,,,,,,,,
Camden County," 11,300 ",19%,6%,7%,2.9%,92%,24%," $55,800 "," $50,000 "," $79,100 ",17%,97,4%,7%,,,,,,,,,,,,,,,,,,,,
Carteret County," 70,800 ",26%,10%,12%,2.9%,84%,32%," $56,300 "," $41,500 "," $67,000 ",21%,115,10%,9%,,,,,,,,,,,,,,,,,,,,
Caswell County," 22,000 ",31%,15%,22%,3.3%,83%,15%," $54,000 "," $35,900 "," $57,000 ",19%,91,10%,19%,,,,,,,,,,,,,,,,,,,,
Catawba County," 168,200 ",32%,13%,19%,3.1%,88%,25%," $50,600 "," $42,000 "," $62,100 ",15%,108,12%,13%,,,,,,,,,,,,,,,,,,,,
Chatham County," 82,500 ",26%,10%,15%,2.8%,89%,47%," $73,500 "," $51,300 "," $84,200 ",24%,173,9%,6%,,,,,,,,,,,,,,,,,,,,
Cherokee County," 29,400 ",39%,17%,23%,3.3%,92%,24%," $50,800 "," $35,600 "," $49,300 ",17%,93,16%,16%,,,,,,,,,,,,,,,,,,,,
Chowan County," 13,900 ",40%,21%,36%,3.0%,84%,24%," $53,700 "," $36,600 "," $51,200 ",23%,110,7%,20%,,,,,,,,,,,,,,,,,,,,
Clay County," 11,900 ",31%,14%,6%,3.4%,88%,29%," $53,600 "," $40,200 "," $57,100 ",32%,99,15%,12%,,,,,,,,,,,,,,,,,,,,
Cleveland County," 101,200 ",42%,18%,30%,3.1%,84%,19%," $49,600 "," $37,300 "," $50,700 ",21%,91,11%,22%,,,,,,,,,,,,,,,,,,,,
Columbus County," 49,900 ",48%,21%,27%,3.5%,85%,15%," $50,400 "," $34,600 "," $43,200 ",24%,91,14%,24%,,,,,,,,,,,,,,,,,,,,
Craven County," 105,200 ",33%,14%,19%,3.1%,81%,26%," $57,400 "," $40,500 "," $61,700 ",25%,130,9%,13%,,,,,,,,,,,,,,,,,,,,
Cumberland County," 343,600 ",40%,18%,24%,4.4%,87%,27%," $55,500 "," $40,100 "," $55,600 ",25%,137,11%,21%,,,,,,,,,,,,,,,,,,,,
Currituck County," 33,700 ",21%,9%,12%,2.8%,87%,27%," $60,800 "," $49,000 "," $82,800 ",29%,158,11%,5%,,,,,,,,,,,,,,,,,,,,
Dare County," 37,800 ",20%,7%,9%,4.1%,93%,43%," $63,800 "," $42,300 "," $79,700 ",25%,136,12%,7%,,,,,,,,,,,,,,,,,,,,
Davidson County," 178,100 ",35%,14%,22%,3.0%,83%,20%," $51,300 "," $41,200 "," $58,500 ",19%,101,11%,13%,,,,,,,,,,,,,,,,,,,,
Davie County," 44,800 ",27%,12%,18%,2.8%,88%,26%," $53,900 "," $43,500 "," $69,100 ",24%,118,10%,11%,,,,,,,,,,,,,,,,,,,,
Duplin County," 49,700 ",44%,19%,31%,3.1%,82%,16%," $48,800 "," $34,800 "," $49,400 ",21%,96,15%,19%,,,,,,,,,,,,,,,,,,,,
Durham County," 340,700 ",29%,12%,17%,2.8%,84%,52%," $73,200 "," $51,000 "," $74,900 ",21%,173,11%,10%,,,,,,,,,,,,,,,,,,,,
Edgecombe County," 47,600 ",45%,22%,37%,5.2%,77%,18%," $52,500 "," $37,300 "," $46,400 ",27%,110,12%,31%,,,,,,,,,,,,,,,,,,,,
Forsyth County," 396,300 ",34%,15%,23%,3.2%,87%,35%," $55,600 "," $42,600 "," $61,200 ",26%,118,10%,15%,,,,,,,,,,,,,,,,,,,,
Franklin County," 80,200 ",31%,10%,14%,3.2%,83%,24%," $64,200 "," $45,000 "," $70,500 ",24%,175,10%,12%,,,,,,,,,,,,,,,,,,,,
Gaston County," 243,200 ",32%,12%,16%,3.2%,85%,25%," $56,400 "," $44,400 "," $62,600 ",23%,165,10%,16%,,,,,,,,,,,,,,,,,,,,
Gates County," 10,500 ",31%,14%,21%,3.2%,87%,9%," $51,200 "," $39,800 "," $55,800 ",17%,111,7%,15%,,,,,,,,,,,,,,,,,,,,
Graham County," 7,700 ",41%,11%,10%,4.1%,92%,14%," $49,200 "," $34,800 "," $46,000 ",15%,91,18%,18%,,,,,,,,,,,,,,,,,,,,
Granville County," 62,900 ",32%,14%,19%,2.8%,79%,24%," $55,900 "," $44,500 "," $68,100 ",24%,124,11%,12%,,,,,,,,,,,,,,,,,,,,
Greene County," 19,900 ",47%,23%,37%,2.5%,89%,11%," $50,900 "," $37,300 "," $50,300 ",26%,91,17%,19%,,,,,,,,,,,,,,,,,,,,
Guilford County," 553,000 ",34%,15%,21%,3.6%,91%,38%," $59,300 "," $43,200 "," $62,900 ",23%,124,9%,16%,,,,,,,,,,,,,,,,,,,,
Halifax County," 46,300 ",49%,24%,34%,4.8%,81%,16%," $53,700 "," $35,300 "," $41,600 ",29%,94,10%,31%,,,,,,,,,,,,,,,,,,,,
Harnett County," 145,400 ",34%,14%,19%,3.6%,87%,23%," $55,100 "," $43,200 "," $65,000 ",20%,119,11%,14%,,,,,,,,,,,,,,,,,,,,
Haywood County," 64,100 ",33%,12%,19%,2.8%,91%,29%," $55,800 "," $40,800 "," $56,600 ",25%,131,11%,13%,,,,,,,,,,,,,,,,,,,,
Henderson County," 121,600 ",29%,11%,18%,2.6%,90%,34%," $60,100 "," $38,700 "," $65,500 ",19%,178,12%,8%,,,,,,,,,,,,,,,,,,,,
Hertford County," 19,600 ",43%,20%,30%,4.3%,82%,16%," $52,700 "," $35,200 "," $46,200 ",29%,100,11%,29%,,,,,,,,,,,,,,,,,,,,
Hoke County," 56,300 ",36%,17%,22%,4.2%,87%,20%," $51,200 "," $41,800 "," $57,100 ",23%,111,11%,17%,,,,,,,,,,,,,,,,,,,,
Hyde County," 4,500 ",51%,30%,62%,5.7%,91%,14%," $59,000 "," $22,900 "," $43,700 ",51%,93,14%,17%,,,,,,,,,,,,,,,,,,,,
Iredell County," 207,700 ",24%,9%,13%,3.0%,89%,33%," $60,800 "," $46,100 "," $73,100 ",18%,128,9%,7%,,,,,,,,,,,,,,,,,,,,
