year,state,state_po,county,office,candidate,party,candidatevotes,mode
2000,NORTH CAROLINA,NC,ALAMANCE,US PRESIDENT,AL GORE,DEMOCRAT,17459,TOTAL
2000,NORTH CAROLINA,NC,ALAMANCE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,29305,TOTAL
2000,NORTH CAROLINA,NC,ALEXANDER,US PRESIDENT,AL GORE,DEMOCRAT,4166,TOTAL
2000,NORTH CAROLINA,NC,ALEXANDER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9242,TOTAL
2000,NORTH CAROLINA,NC,ALLEGHANY,US PRESIDENT,AL GORE,DEMOCRAT,1715,TOTAL
2000,NORTH CAROLINA,NC,ALLEGHANY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2531,TOTAL
2000,NORTH CAROLINA,NC,ANSON,US PRESIDENT,AL GORE,DEMOCRAT,4792,TOTAL
2000,NORTH CAROLINA,NC,ANSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3161,TOTAL
2000,NORTH CAROLINA,NC,ASHE,US PRESIDENT,AL GORE,DEMOCRAT,4011,TOTAL
2000,NORTH CAROLINA,NC,ASHE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6226,TOTAL
2000,NORTH CAROLINA,NC,AVERY,US PRESIDENT,AL GORE,DEMOCRAT,1686,TOTAL
2000,NORTH CAROLINA,NC,AVERY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4956,TOTAL
2000,NORTH CAROLINA,NC,BEAUFORT,US PRESIDENT,AL GORE,DEMOCRAT,6634,TOTAL
2000,NORTH CAROLINA,NC,BEAUFORT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10531,TOTAL
2000,NORTH CAROLINA,NC,BERTIE,US PRESIDENT,AL GORE,DEMOCRAT,4660,TOTAL
2000,NORTH CAROLINA,NC,BERTIE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2488,TOTAL
2000,NORTH CAROLINA,NC,BLADEN,US PRESIDENT,AL GORE,DEMOCRAT,5889,TOTAL
2000,NORTH CAROLINA,NC,BLADEN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4977,TOTAL
2000,NORTH CAROLINA,NC,BRUNSWICK,US PRESIDENT,AL GORE,DEMOCRAT,13118,TOTAL
2000,NORTH CAROLINA,NC,BRUNSWICK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15427,TOTAL
2000,NORTH CAROLINA,NC,BUNCOMBE,US PRESIDENT,AL GORE,DEMOCRAT,38545,TOTAL
2000,NORTH CAROLINA,NC,BUNCOMBE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,46101,TOTAL
2000,NORTH CAROLINA,NC,BURKE,US PRESIDENT,AL GORE,DEMOCRAT,11924,TOTAL
2000,NORTH CAROLINA,NC,BURKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,18466,TOTAL
2000,NORTH CAROLINA,NC,CABARRUS,US PRESIDENT,AL GORE,DEMOCRAT,16284,TOTAL
